method,n,true_p,coverage,length
clopper_pearson,1000,0.0,1.0,0.003682083896865668
clopper_pearson,1000,0.01,0.97606,0.01335885788464632
clopper_pearson,1000,0.02,0.95768,0.018354148099492866
clopper_pearson,1000,0.03,0.96039,0.02213611408023759
clopper_pearson,1000,0.04,0.96496,0.025266049086615422
clopper_pearson,1000,0.05,0.95781,0.02798484298580566
clopper_pearson,1000,0.06,0.9544,0.03040087446342869
clopper_pearson,1000,0.07,0.95322,0.0325826713939655
clopper_pearson,1000,0.08,0.95336,0.034589281552494265
clopper_pearson,1000,0.09,0.95305,0.03641890737325109
clopper_pearson,1000,0.1,0.95532,0.03813620958248209
clopper_pearson,1000,0.11,0.95632,0.03973605503959975
clopper_pearson,1000,0.12,0.95275,0.0412209635731464
clopper_pearson,1000,0.13,0.95151,0.04261513988505454
clopper_pearson,1000,0.14,0.95556,0.04394405510345364
clopper_pearson,1000,0.15,0.95469,0.0451894734756785
clopper_pearson,1000,0.16,0.9523,0.0463688675170869
clopper_pearson,1000,0.17,0.95592,0.04748533124497394
clopper_pearson,1000,0.18,0.9518,0.048547811352136296
clopper_pearson,1000,0.19,0.95701,0.04954950346933909
clopper_pearson,1000,0.2,0.95139,0.050505035722837044
clopper_pearson,1000,0.21,0.9571,0.05140301665011711
clopper_pearson,1000,0.22,0.95269,0.052265158282277326
clopper_pearson,1000,0.23,0.9536,0.05307345009693378
clopper_pearson,1000,0.24,0.9541,0.05385258333176205
clopper_pearson,1000,0.25,0.95351,0.05458415053628385
clopper_pearson,1000,0.26,0.95101,0.05527852432085939
clopper_pearson,1000,0.27,0.95467,0.05594217309684797
clopper_pearson,1000,0.28,0.95397,0.056556109816301076
clopper_pearson,1000,0.29,0.95331,0.05715475035920202
clopper_pearson,1000,0.3,0.95456,0.05770707867889193
clopper_pearson,1000,0.31,0.95273,0.05823045772581029
clopper_pearson,1000,0.32,0.95522,0.05872584982133012
clopper_pearson,1000,0.33,0.95192,0.0591865547398538
clopper_pearson,1000,0.34,0.95337,0.059615446557981795
clopper_pearson,1000,0.35000000000000003,0.95471,0.060021800724306004
clopper_pearson,1000,0.36,0.95529,0.06039790689029081
clopper_pearson,1000,0.37,0.95449,0.060743145239628184
clopper_pearson,1000,0.38,0.95288,0.06106198131027617
clopper_pearson,1000,0.39,0.95187,0.061356100332878284
clopper_pearson,1000,0.4,0.95167,0.061619920305944306
clopper_pearson,1000,0.41000000000000003,0.95372,0.06186173850024698
clopper_pearson,1000,0.42,0.9565,0.06207224869387975
clopper_pearson,1000,0.43,0.95613,0.06226269553662816
clopper_pearson,1000,0.44,0.95581,0.062424270079654086
clopper_pearson,1000,0.45,0.95313,0.06256017897318131
clopper_pearson,1000,0.46,0.95434,0.06267157557624357
clopper_pearson,1000,0.47000000000000003,0.95464,0.06275956811191023
clopper_pearson,1000,0.48,0.95392,0.0628210028233415
clopper_pearson,1000,0.49,0.95331,0.0628581571775093
clopper_pearson,1000,0.5,0.95407,0.0628707511922663
clopper_pearson,1000,0.51,0.95418,0.06285852025718082
clopper_pearson,1000,0.52,0.95412,0.06282166243165316
clopper_pearson,1000,0.53,0.95464,0.0627588560943392
clopper_pearson,1000,0.54,0.95416,0.06267226070449466
clopper_pearson,1000,0.55,0.95532,0.06256102154033975
clopper_pearson,1000,0.56,0.95462,0.06242312385902038
clopper_pearson,1000,0.5700000000000001,0.95658,0.06226115647282514
clopper_pearson,1000,0.58,0.95652,0.062073015609608526
clopper_pearson,1000,0.59,0.95285,0.06186151831074754
clopper_pearson,1000,0.6,0.95171,0.061619609806559755
clopper_pearson,1000,0.61,0.95308,0.061354671544592745
clopper_pearson,1000,0.62,0.95362,0.06105807646120008
clopper_pearson,1000,0.63,0.954,0.06074146618693896
clopper_pearson,1000,0.64,0.95476,0.06039407656907123
clopper_pearson,1000,0.65,0.9542,0.06002480909414041
clopper_pearson,1000,0.66,0.9546,0.05961806241063322
clopper_pearson,1000,0.67,0.95458,0.05918880229866887
clopper_pearson,1000,0.68,0.95529,0.0587228175645778
clopper_pearson,1000,0.6900000000000001,0.95277,0.058231016563408046
clopper_pearson,1000,0.7000000000000001,0.95491,0.05770398188888603
clopper_pearson,1000,0.71,0.9522,0.05714940209033006
clopper_pearson,1000,0.72,0.95498,0.05655751413000879
clopper_pearson,1000,0.73,0.95422,0.055937033349208624
clopper_pearson,1000,0.74,0.95366,0.05528353608696857
clopper_pearson,1000,0.75,0.95588,0.054590435232546086
clopper_pearson,1000,0.76,0.95445,0.05385326105513357
clopper_pearson,1000,0.77,0.95375,0.05307356482921713
clopper_pearson,1000,0.78,0.95266,0.05226492658114704
clopper_pearson,1000,0.79,0.95568,0.05141005063215998
clopper_pearson,1000,0.8,0.95311,0.050497407060661074
clopper_pearson,1000,0.81,0.95678,0.049543339594387954
clopper_pearson,1000,0.8200000000000001,0.95143,0.04854400145843937
clopper_pearson,1000,0.8300000000000001,0.95625,0.04748255276358045
clopper_pearson,1000,0.84,0.95393,0.046372264090495156
clopper_pearson,1000,0.85,0.95347,0.04519291514706538
clopper_pearson,1000,0.86,0.95615,0.04394353286932413
clopper_pearson,1000,0.87,0.95187,0.04262418680042188
clopper_pearson,1000,0.88,0.95388,0.041222236756585935
clopper_pearson,1000,0.89,0.95697,0.039726500342349605
clopper_pearson,1000,0.9,0.95421,0.03812864581269096
clopper_pearson,1000,0.91,0.95367,0.03642608733193086
clopper_pearson,1000,0.92,0.95216,0.034588131445032075
clopper_pearson,1000,0.93,0.95291,0.032580341724949
clopper_pearson,1000,0.9400000000000001,0.95497,0.030389429005980715
clopper_pearson,1000,0.9500000000000001,0.9578,0.02799364458623264
clopper_pearson,1000,0.96,0.96336,0.025264016223713853
clopper_pearson,1000,0.97,0.95866,0.02212305670678269
clopper_pearson,1000,0.98,0.95964,0.01835232742516899
clopper_pearson,1000,0.99,0.97619,0.013366965388513043
clopper_pearson,1000,1.0,1.0,0.00368208389686564
clopper_pearson,2000,0.0,1.0,0.0018427397934059374
clopper_pearson,2000,0.01,0.95868,0.009229318472280165
clopper_pearson,2000,0.02,0.96266,0.01277059190470805
clopper_pearson,2000,0.03,0.95038,0.015442560891921513
clopper_pearson,2000,0.04,0.96011,0.01766573082249445
clopper_pearson,2000,0.05,0.95939,0.019596450920699213
clopper_pearson,2000,0.06,0.95237,0.021305595696510842
clopper_pearson,2000,0.07,0.95614,0.022847147187948967
clopper_pearson,2000,0.08,0.95201,0.02426402449094938
clopper_pearson,2000,0.09,0.95318,0.025566620065739388
clopper_pearson,2000,0.1,0.95445,0.0267767597036277
clopper_pearson,2000,0.11,0.9546,0.02790454813812455
clopper_pearson,2000,0.12,0.9527,0.02896097708758025
clopper_pearson,2000,0.13,0.95336,0.029955789261266977
clopper_pearson,2000,0.14,0.95432,0.0308921573789538
clopper_pearson,2000,0.15,0.95468,0.03177378175618782
clopper_pearson,2000,0.16,0.95318,0.03260666255106531
clopper_pearson,2000,0.17,0.95569,0.033394702487735704
clopper_pearson,2000,0.18,0.9522,0.0341466299171828
clopper_pearson,2000,0.19,0.95367,0.03485933417119368
clopper_pearson,2000,0.2,0.9525,0.035528621466852754
clopper_pearson,2000,0.21,0.95205,0.036169460725066424
clopper_pearson,2000,0.22,0.95324,0.03677726347590287
clopper_pearson,2000,0.23,0.95293,0.0373559811203019
clopper_pearson,2000,0.24,0.95326,0.0379036256578857
clopper_pearson,2000,0.25,0.95285,0.0384225505391916
clopper_pearson,2000,0.26,0.9524,0.03891487316325632
clopper_pearson,2000,0.27,0.95341,0.039382773584531204
clopper_pearson,2000,0.28,0.95217,0.03981867968232012
clopper_pearson,2000,0.29,0.95356,0.040237980256757566
clopper_pearson,2000,0.3,0.951,0.04063192161726603
clopper_pearson,2000,0.31,0.95283,0.04100481414782389
clopper_pearson,2000,0.32,0.95377,0.041352579480081385
clopper_pearson,2000,0.33,0.95146,0.041679581792212886
clopper_pearson,2000,0.34,0.95263,0.041985179277814366
clopper_pearson,2000,0.35000000000000003,0.95264,0.04227164113207501
clopper_pearson,2000,0.36,0.95225,0.04253719878824566
clopper_pearson,2000,0.37,0.95107,0.04278321502640992
clopper_pearson,2000,0.38,0.95183,0.04300728918819399
clopper_pearson,2000,0.39,0.95321,0.04321611692276423
clopper_pearson,2000,0.4,0.95352,0.04340378664020348
clopper_pearson,2000,0.41000000000000003,0.95292,0.04357251910563413
clopper_pearson,2000,0.42,0.9509,0.043723373786253454
clopper_pearson,2000,0.43,0.95075,0.04385644010607109
clopper_pearson,2000,0.44,0.95267,0.043971411917788854
clopper_pearson,2000,0.45,0.9539,0.044068223026415256
clopper_pearson,2000,0.46,0.95321,0.04414744132861355
clopper_pearson,2000,0.47000000000000003,0.95429,0.044209001512876295
clopper_pearson,2000,0.48,0.95321,0.04425301626954628
clopper_pearson,2000,0.49,0.95397,0.044279045320022775
clopper_pearson,2000,0.5,0.95218,0.04428789768312979
clopper_pearson,2000,0.51,0.95308,0.044279229803585396
clopper_pearson,2000,0.52,0.95484,0.04425307703105437
clopper_pearson,2000,0.53,0.95326,0.04420902143191628
clopper_pearson,2000,0.54,0.95387,0.04414734370370685
clopper_pearson,2000,0.55,0.95484,0.04406872984152063
clopper_pearson,2000,0.56,0.95094,0.043971617581915146
clopper_pearson,2000,0.5700000000000001,0.94989,0.04385693581354496
clopper_pearson,2000,0.58,0.95119,0.04372312134523629
clopper_pearson,2000,0.59,0.95136,0.043571983018881065
clopper_pearson,2000,0.6,0.95334,0.04340351865959414
clopper_pearson,2000,0.61,0.95314,0.04321479882220677
clopper_pearson,2000,0.62,0.95206,0.04300706331595357
clopper_pearson,2000,0.63,0.95177,0.042783631135132234
clopper_pearson,2000,0.64,0.95221,0.042536784616168125
clopper_pearson,2000,0.65,0.95441,0.04227125200958286
clopper_pearson,2000,0.66,0.95258,0.04198437622802852
clopper_pearson,2000,0.67,0.95103,0.041678948964415694
clopper_pearson,2000,0.68,0.95356,0.04135202859603684
clopper_pearson,2000,0.6900000000000001,0.95275,0.04100426246203153
clopper_pearson,2000,0.7000000000000001,0.95287,0.04063379058998274
clopper_pearson,2000,0.71,0.9539,0.04024028777592816
clopper_pearson,2000,0.72,0.95349,0.039823053537248944
clopper_pearson,2000,0.73,0.95297,0.039378321360935796
clopper_pearson,2000,0.74,0.95351,0.038914001999860386
clopper_pearson,2000,0.75,0.95342,0.03842423488625894
clopper_pearson,2000,0.76,0.95372,0.037906156239706695
clopper_pearson,2000,0.77,0.95443,0.03735337096659899
clopper_pearson,2000,0.78,0.95343,0.03678095001035602
clopper_pearson,2000,0.79,0.95246,0.03617340201593191
clopper_pearson,2000,0.8,0.95274,0.03553185747212716
clopper_pearson,2000,0.81,0.95466,0.03485874514841488
clopper_pearson,2000,0.8200000000000001,0.9518,0.03414924789426939
clopper_pearson,2000,0.8300000000000001,0.95419,0.03339689272516884
clopper_pearson,2000,0.84,0.95331,0.03260376112963467
clopper_pearson,2000,0.85,0.95505,0.031772767346156056
clopper_pearson,2000,0.86,0.95449,0.0308841168660082
clopper_pearson,2000,0.87,0.95335,0.029953777787343462
clopper_pearson,2000,0.88,0.95422,0.028964977133506414
clopper_pearson,2000,0.89,0.955,0.027906233815827127
clopper_pearson,2000,0.9,0.95492,0.026770354991844682
clopper_pearson,2000,0.91,0.95309,0.025567792061476496
clopper_pearson,2000,0.92,0.95208,0.024261240301673564
clopper_pearson,2000,0.93,0.95601,0.02284902955573667
clopper_pearson,2000,0.9400000000000001,0.95201,0.021303761148584722
clopper_pearson,2000,0.9500000000000001,0.96074,0.0195940994771727
clopper_pearson,2000,0.96,0.96034,0.01767385406966528
clopper_pearson,2000,0.97,0.95061,0.015445295437149398
clopper_pearson,2000,0.98,0.96221,0.012766826452908563
clopper_pearson,2000,0.99,0.95832,0.00923093563757528
clopper_pearson,2000,1.0,1.0,0.0018427397934059897
clopper_pearson,10000,0.0,1.0,0.0003688199146187621
clopper_pearson,10000,0.01,0.95507,0.004000330058288413
clopper_pearson,10000,0.02,0.95559,0.0055890167138154005
clopper_pearson,10000,0.03,0.95425,0.006786451553713895
clopper_pearson,10000,0.04,0.9527,0.007780493734114322
clopper_pearson,10000,0.05,0.9516,0.0086413700283539
clopper_pearson,10000,0.06,0.95293,0.009407985036452435
clopper_pearson,10000,0.07,0.95162,0.010100182966395446
clopper_pearson,10000,0.08,0.95403,0.01073217116318615
clopper_pearson,10000,0.09,0.95132,0.011316509227926166
clopper_pearson,10000,0.1,0.95254,0.011857718956017347
clopper_pearson,10000,0.11,0.95264,0.012363269423106948
clopper_pearson,10000,0.12,0.95101,0.01283681928647806
clopper_pearson,10000,0.13,0.95191,0.013279933302241923
clopper_pearson,10000,0.14,0.95272,0.013699276050365701
clopper_pearson,10000,0.15,0.95207,0.014095050497630442
clopper_pearson,10000,0.16,0.95096,0.014468771764479416
clopper_pearson,10000,0.17,0.9514,0.014821529791087735
clopper_pearson,10000,0.18,0.95229,0.015157303064643806
clopper_pearson,10000,0.19,0.95182,0.015475981701337196
clopper_pearson,10000,0.2,0.95199,0.015777191734524364
clopper_pearson,10000,0.21,0.95127,0.016063335711938874
clopper_pearson,10000,0.22,0.95155,0.01633525540137452
clopper_pearson,10000,0.23,0.95152,0.016593974950798316
clopper_pearson,10000,0.24,0.94968,0.016839065411824877
clopper_pearson,10000,0.25,0.95275,0.017070595387988566
clopper_pearson,10000,0.26,0.95202,0.01729140875526293
clopper_pearson,10000,0.27,0.95148,0.01749945424667127
clopper_pearson,10000,0.28,0.95198,0.017697409251862913
clopper_pearson,10000,0.29,0.95097,0.01788451682809578
clopper_pearson,10000,0.3,0.95195,0.018060497923414215
clopper_pearson,10000,0.31,0.95072,0.018226659464015457
clopper_pearson,10000,0.32,0.95222,0.018382280060823
clopper_pearson,10000,0.33,0.95091,0.018528691081463343
clopper_pearson,10000,0.34,0.95214,0.018665856622452754
clopper_pearson,10000,0.35000000000000003,0.95033,0.018793515101810945
clopper_pearson,10000,0.36,0.95067,0.01891253374454744
clopper_pearson,10000,0.37,0.95249,0.01902211491280146
clopper_pearson,10000,0.38,0.95075,0.01912338593744394
clopper_pearson,10000,0.39,0.94927,0.01921588894185116
clopper_pearson,10000,0.4,0.95027,0.01930041561448646
clopper_pearson,10000,0.41000000000000003,0.95144,0.019376278941482413
clopper_pearson,10000,0.42,0.95324,0.019443837402989658
clopper_pearson,10000,0.43,0.95096,0.01950320172683414
clopper_pearson,10000,0.44,0.95016,0.019554717461610523
clopper_pearson,10000,0.45,0.95038,0.019597936902360148
clopper_pearson,10000,0.46,0.95185,0.019633400348200613
clopper_pearson,10000,0.47000000000000003,0.95165,0.019660983895146197
clopper_pearson,10000,0.48,0.95172,0.019680556432652322
clopper_pearson,10000,0.49,0.95081,0.019692335395231957
clopper_pearson,10000,0.5,0.95144,0.019696259026051006
clopper_pearson,10000,0.51,0.95097,0.0196923146371225
clopper_pearson,10000,0.52,0.9507,0.019680555451754546
clopper_pearson,10000,0.53,0.95217,0.01966097389909638
clopper_pearson,10000,0.54,0.95314,0.019633467173658242
clopper_pearson,10000,0.55,0.95189,0.019598061770456903
clopper_pearson,10000,0.56,0.95017,0.019554683567581613
clopper_pearson,10000,0.5700000000000001,0.9511,0.01950331723931959
clopper_pearson,10000,0.58,0.95097,0.019443727665394938
clopper_pearson,10000,0.59,0.94997,0.019376359725674298
clopper_pearson,10000,0.6,0.9516,0.019300281346100144
clopper_pearson,10000,0.61,0.9506,0.01921630497831986
clopper_pearson,10000,0.62,0.94979,0.019123750518724173
clopper_pearson,10000,0.63,0.95187,0.019022207157175598
clopper_pearson,10000,0.64,0.95105,0.018912465894888392
clopper_pearson,10000,0.65,0.95163,0.018793640228273772
clopper_pearson,10000,0.66,0.95195,0.01866608065977932
clopper_pearson,10000,0.67,0.94992,0.018528717473817714
clopper_pearson,10000,0.68,0.95136,0.01838283707449553
clopper_pearson,10000,0.6900000000000001,0.95024,0.018226648631510297
clopper_pearson,10000,0.7000000000000001,0.95126,0.018060305174857447
clopper_pearson,10000,0.71,0.95173,0.017884349127542793
clopper_pearson,10000,0.72,0.95155,0.017697479394972626
clopper_pearson,10000,0.73,0.95074,0.01749985726062976
clopper_pearson,10000,0.74,0.95054,0.017291581849915
clopper_pearson,10000,0.75,0.95092,0.01707140461698148
clopper_pearson,10000,0.76,0.95106,0.01683836170899416
clopper_pearson,10000,0.77,0.95063,0.016593585833812048
clopper_pearson,10000,0.78,0.95001,0.016335526480080274
clopper_pearson,10000,0.79,0.95253,0.01606361361543926
clopper_pearson,10000,0.8,0.95172,0.015777233330848253
clopper_pearson,10000,0.81,0.95204,0.015475250336314588
clopper_pearson,10000,0.8200000000000001,0.95161,0.015157543070402162
clopper_pearson,10000,0.8300000000000001,0.95106,0.01482219875208772
clopper_pearson,10000,0.84,0.9528,0.01446835948248554
clopper_pearson,10000,0.85,0.95062,0.014094448913992103
clopper_pearson,10000,0.86,0.95156,0.01369890055458147
clopper_pearson,10000,0.87,0.95182,0.013280757639041494
clopper_pearson,10000,0.88,0.95073,0.012836040826485692
clopper_pearson,10000,0.89,0.95212,0.012363463478620476
clopper_pearson,10000,0.9,0.95116,0.011858522236646027
clopper_pearson,10000,0.91,0.95212,0.011316861997832453
clopper_pearson,10000,0.92,0.95403,0.010732646906286817
clopper_pearson,10000,0.93,0.95274,0.010100657800747571
clopper_pearson,10000,0.9400000000000001,0.95178,0.009408150831256179
clopper_pearson,10000,0.9500000000000001,0.94971,0.008642187315066292
clopper_pearson,10000,0.96,0.95338,0.00777967416167534
clopper_pearson,10000,0.97,0.95441,0.0067853315088383295
clopper_pearson,10000,0.98,0.95509,0.005587611683151521
clopper_pearson,10000,0.99,0.95581,0.004001171391852178
clopper_pearson,10000,1.0,1.0,0.0003688199146187898
wilson_score,1000,0.0,1.0,0.003826758485555124
wilson_score,1000,0.01,0.96341,0.012738001204474813
wilson_score,1000,0.02,0.94618,0.017603604217333223
wilson_score,1000,0.03,0.94899,0.021327776844907623
wilson_score,1000,0.04,0.95743,0.02442429971661443
wilson_score,1000,0.05,0.95173,0.027110825700564566
wilson_score,1000,0.06,0.94717,0.029509623420029423
wilson_score,1000,0.07,0.94581,0.03167903221397783
wilson_score,1000,0.08,0.94498,0.03366419897807926
wilson_score,1000,0.09,0.94851,0.035497258487755
wilson_score,1000,0.1,0.94923,0.03719549018088394
wilson_score,1000,0.11,0.95231,0.03878580813125759
wilson_score,1000,0.12,0.95302,0.040264643829909304
wilson_score,1000,0.13,0.94657,0.04165670057753225
wilson_score,1000,0.14,0.95119,0.042972403965186985
wilson_score,1000,0.15,0.95362,0.04421387970257677
wilson_score,1000,0.16,0.94804,0.04539610454956455
wilson_score,1000,0.17,0.95263,0.046500938190049974
wilson_score,1000,0.18,0.94756,0.04755484920072551
wilson_score,1000,0.19,0.95167,0.04855289983827994
wilson_score,1000,0.2,0.94703,0.04950234244385626
wilson_score,1000,0.21,0.9535,0.050405979843222315
wilson_score,1000,0.22,0.94794,0.051257819944759773
wilson_score,1000,0.23,0.95475,0.05206481616283172
wilson_score,1000,0.24,0.94961,0.052838951923137194
wilson_score,1000,0.25,0.94735,0.05357244672468759
wilson_score,1000,0.26,0.95191,0.05426835472383347
wilson_score,1000,0.27,0.9497,0.054923425082808355
wilson_score,1000,0.28,0.94665,0.05554087434827159
wilson_score,1000,0.29,0.95408,0.056128118351122684
wilson_score,1000,0.3,0.95161,0.0566847109486902
wilson_score,1000,0.31,0.94893,0.057203373709115456
wilson_score,1000,0.32,0.9486,0.05769562523200422
wilson_score,1000,0.33,0.95197,0.0581586387630053
wilson_score,1000,0.34,0.95102,0.05858509622280964
wilson_score,1000,0.35000000000000003,0.94926,0.058989737291747175
wilson_score,1000,0.36,0.9494,0.059364103065217284
wilson_score,1000,0.37,0.94568,0.05971299948438908
wilson_score,1000,0.38,0.95319,0.06002912968568986
wilson_score,1000,0.39,0.9531,0.060318770715654134
wilson_score,1000,0.4,0.95101,0.060583713874408994
wilson_score,1000,0.41000000000000003,0.95022,0.060822969908916794
wilson_score,1000,0.42,0.9493,0.06103658712545889
wilson_score,1000,0.43,0.94766,0.061222435314650596
wilson_score,1000,0.44,0.94796,0.061384916810256436
wilson_score,1000,0.45,0.94691,0.061521543578748034
wilson_score,1000,0.46,0.94747,0.061632456523532074
